Polarization of Light 'theta' Data File Wed, Feb 11, 2026 9:31 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	2.69296
0.00000	2.68748
0.00000	2.69651
0.00000	2.69393
0.00000	2.69667
0.00000	2.69377
0.00000	2.69054
0.00000	2.69634
0.00000	2.69344
0.00000	2.69425
0.00000	2.69473
0.00000	2.69167
0.00000	2.69232
0.00000	2.68877
0.00000	2.69087
0.00000	2.69248
0.00000	2.69377
0.00000	2.69441
0.00000	2.69216
0.00000	2.69425
0.00000	2.68845
0.00000	2.68974
0.00000	2.69151
0.00436	2.67057
0.01745	2.56246
0.02182	2.53169
0.02182	2.53620
0.02182	2.53700
0.04363	2.35108
0.04800	2.32127
0.04800	2.31531
0.04800	2.31918
0.04800	2.31579
0.06109	2.24184
0.07854	2.10522
0.09163	1.99131
0.10036	1.90061
0.10908	1.83874
0.12217	1.74094
0.13963	1.62011
0.15708	1.49509
0.17890	1.34509
0.20071	1.22361
0.21817	1.11309
0.23562	0.99000
0.26616	0.83082
0.28798	0.70274
0.30980	0.58223
0.33161	0.47638
0.34470	0.40887
0.35779	0.34781
0.37525	0.28610
0.38834	0.23036
0.41015	0.15609
0.43197	0.08874
0.45379	0.05104
0.47560	0.01173
0.49742	-0.00342
0.52360	-0.01308
0.55414	0.00851
0.58032	0.04975
0.60650	0.09535
0.62396	0.14964
0.65450	0.24679
0.68504	0.36392
0.71558	0.51520
0.74176	0.65585
0.77231	0.83743
0.79412	0.99838
0.81594	1.12582
0.84212	1.29563
0.85957	1.42404
0.88139	1.56598
0.89884	1.69132
0.91630	1.82440
0.92939	1.91060
0.93811	1.97649
0.94684	2.05238
0.95120	2.06027
0.95993	2.12955
0.97302	2.23943
0.98175	2.29727
0.98175	2.33029
0.98175	2.32240
0.98175	2.32079
0.98175	2.32594
0.98611	2.33481
0.99484	2.40247
0.99484	2.40940
0.99920	2.44195
1.00356	2.47207
1.00356	2.47046
1.01229	2.49141
1.02974	2.61273
1.04720	2.71084
1.06465	2.81831
1.08210	2.93399
1.10392	3.03903
1.12137	3.17389
1.14319	3.27974
1.16501	3.38624
1.18682	3.47968
1.20428	3.56104
1.22609	3.63000
1.25227	3.65868
1.27845	3.67238
1.30027	3.66287
1.32209	3.63999
1.33081	3.61582
1.33518	3.61550
1.34390	3.59971
1.36572	3.55541
1.38754	3.50755
1.41372	3.43457
1.43990	3.34000
1.46171	3.21481
1.48789	3.08560
1.51844	2.94172
1.54898	2.79398
1.58389	2.60403
1.61879	2.41794
1.64934	2.23556
1.67988	2.01371
1.71042	1.81667
1.74097	1.58563
1.76278	1.41050
1.78460	1.25745
1.80642	1.09585
1.82823	0.95021
1.85005	0.80488
1.87187	0.66939
1.89368	0.54759
1.91986	0.41064
1.94168	0.29690
1.97222	0.18831
2.00277	0.10066
2.02022	0.05426
2.03767	0.02961
2.04640	0.01737
2.05949	-0.00084
2.07258	-0.01034
2.08567	-0.01244
2.09876	-0.01437
2.11185	-0.01502
2.12494	0.00496
2.13803	0.01028
2.15112	0.02639
2.16421	0.05249
2.17730	0.07456
2.19475	0.11194
2.20348	0.13756
2.21220	0.15995
2.22093	0.18605
2.22966	0.22343
2.23838	0.25259
2.24711	0.28095
2.26020	0.32026
2.27329	0.37036
2.28202	0.40645
2.29074	0.44174
2.30383	0.48411
2.31256	0.53260
2.32565	0.60494
2.34747	0.69082
2.36492	0.81036
2.37365	0.88238
2.37801	0.91106
2.37801	0.90961
2.37801	0.92088
2.37801	0.91299
2.40855	1.11953
2.42601	1.26727
2.44346	1.41614
2.45655	1.54165
2.47400	1.65104
2.49582	1.82392
2.51327	1.96779
2.52636	2.07541
2.53945	2.20076
2.56127	2.33851
2.57436	2.46241
2.59618	2.57905
2.60927	2.65719
2.62236	2.74710
2.63545	2.84489
2.64854	2.90547
2.66599	2.97958
2.69217	3.06739
2.71399	3.13022
2.73144	3.18355
2.74453	3.22319
2.75762	3.26347
2.76635	3.29923
2.77507	3.33371
2.78816	3.38317
2.80562	3.44182
2.81871	3.47984
2.83180	3.50949
2.84489	3.54236
2.85361	3.56765
2.86670	3.60551
2.87543	3.63629
2.88416	3.66577
2.90161	3.70041
2.91906	3.72538
2.93215	3.71636
2.94088	3.69928
2.95397	3.65643
2.96270	3.61276
2.97579	3.57265
2.98888	3.54074
3.00633	3.51545
3.02378	3.46566
3.03687	3.39767
3.05869	3.34000
3.08051	3.25863
3.09360	3.18581
3.09796	3.16583
3.10669	3.15697
3.11541	3.14972
3.11978	3.14005
3.13287	3.11959
3.15032	2.92819
