Polarization of Light 'theta' Data File Wed, Feb 11, 2026 9:20 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.62863
0.00000	0.62863
0.00000	0.63620
0.00000	0.62895
0.00000	0.63491
0.00000	0.63829
0.00000	0.63137
0.00000	0.62814
0.00000	0.62766
0.00000	0.63362
0.00000	0.63137
0.00000	0.62766
0.00000	0.63298
0.00000	0.62798
0.00000	0.62943
0.00000	0.62637
0.00000	0.62653
0.00000	0.63024
0.00000	0.63394
0.00000	0.62685
0.00000	0.63137
0.00000	0.63362
0.00000	0.62959
0.00000	0.62814
0.00000	0.62863
0.00000	0.62975
0.00000	0.63588
0.00000	0.63282
0.00000	0.63910
0.00000	0.63169
0.00000	0.63362
0.00000	0.62847
0.00000	0.63056
0.00000	0.62605
0.00000	0.63169
0.00000	0.63153
0.00000	0.63217
0.00000	0.62299
0.00000	0.63636
0.00000	0.62702
0.00000	0.63410
0.00000	0.62524
0.00000	0.63394
0.00000	0.63185
0.00000	0.62959
0.00000	0.62766
0.00000	0.62879
0.00000	0.63282
0.00000	0.63153
0.00000	0.63024
0.00000	0.63298
0.00000	0.63282
0.00000	0.62782
0.00000	0.63008
0.00000	0.63282
0.00000	0.62750
0.00000	0.63249
0.00000	0.63604
0.00000	0.62492
0.00000	0.63394
0.00000	0.62830
0.00000	0.62911
0.00000	0.63362
0.00000	0.62782
0.00000	0.63282
0.00000	0.63443
0.00000	0.62782
0.00000	0.63008
0.00000	0.63040
0.00000	0.62927
0.00000	0.62959
0.00000	0.63008
0.00000	0.63008
0.00000	0.63459
0.00000	0.63249
0.00000	0.63217
0.00000	0.63233
0.00000	0.63443
0.00000	0.62411
0.00000	0.63265
0.00000	0.63088
0.00000	0.63572
0.00000	0.63700
0.00000	0.63088
0.00000	0.63491
0.00000	0.63137
0.00000	0.62637
0.00000	0.63249
0.00000	0.62750
0.00000	0.63233
0.00000	0.63346
0.00000	0.63153
0.00000	0.62363
0.00000	0.62959
0.00000	0.63668
0.00000	0.62959
0.00000	0.63153
0.00000	0.63201
0.00000	0.63249
0.00000	0.62685
0.00000	0.63797
0.00000	0.63684
0.00000	0.63910
0.00000	0.63507
0.00000	0.63346
0.00000	0.63378
0.00000	0.63539
0.00000	0.63878
0.00000	0.63717
0.00000	0.63926
0.00000	0.63926
0.00000	0.63878
0.00000	0.62685
0.00000	0.63539
0.00000	0.63346
0.00000	0.63217
0.00000	0.63346
0.00000	0.63733
0.00000	0.62605
0.00000	0.63104
0.00000	0.63265
0.00000	0.63249
0.00000	0.62750
0.00000	0.63314
0.00000	0.63684
0.00000	0.62863
0.00000	0.62992
0.00000	0.63040
0.00000	0.63346
0.00000	0.62992
0.00000	0.63958
0.00000	0.62895
0.00000	0.63700
0.00000	0.63394
0.00000	0.63572
0.00000	0.63733
0.00000	0.62975
0.00000	0.63169
0.00000	0.62830
0.00000	0.63056
0.00000	0.62943
0.00000	0.62814
0.00000	0.63185
0.00000	0.63233
0.00000	0.63588
0.00000	0.63040
0.00000	0.55016
0.00000	0.24760
0.00000	0.00947
0.00000	-0.00068
0.00000	0.09599
0.00000	4.72640
0.00000	4.71995
0.00000	4.72108
0.00000	4.71448
0.00000	4.72527
0.00000	4.71496
0.00000	4.72350
0.00000	4.71383
0.00000	4.72253
0.00000	4.71770
0.00000	4.71979
0.00000	4.71013
0.00000	4.72350
0.00000	4.71222
0.00000	4.71786
0.00000	4.70997
0.00000	4.71657
0.00000	4.71560
0.00000	4.72962
0.00000	4.71738
0.00000	4.71995
0.00000	4.71206
0.00000	4.72157
0.00000	4.71351
0.00000	4.72334
0.00000	4.71947
0.00000	4.72495
0.00000	4.71577
0.00000	4.73027
0.00000	4.71287
0.00000	4.72640
0.00000	4.72044
0.00000	4.72173
0.00000	4.71609
0.00000	4.72592
0.00000	4.71496
0.00000	4.72334
0.00000	4.71947
0.00000	4.71867
0.00000	4.72028
0.00000	4.72463
0.00000	4.71399
0.00000	4.71947
0.00000	4.71834
0.00000	4.72189
0.00000	4.72640
0.00000	4.72253
0.00000	4.72801
0.00000	4.72656
0.00000	4.71512
0.00000	4.71979
0.00000	4.71802
0.00000	4.73059
0.00000	4.71319
0.00000	0.63942
0.00000	0.11017
0.00000	0.01141
0.00000	0.01125
0.00000	1.16046
0.00000	1.77268
0.00000	2.59758
0.00000	3.85299
0.00000	3.38382
0.00000	3.33403
0.00000	2.66332
0.00000	3.55138
0.00000	3.63226
0.00000	3.07126
0.00000	3.36867
0.00000	3.21739
0.00000	3.46421
0.00000	3.70186
0.00000	3.63500
0.00000	3.48838
0.00000	3.50401
0.00000	3.37770
0.00000	3.39767
0.00000	3.46099
0.00000	3.29118
0.00000	3.48323
