Polarization of Light 'theta' Data File Wed, Jan 21, 2026 9:28 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	4.46213
0.00000	4.46068
0.00000	4.46262
0.00000	4.46020
0.00000	4.45778
0.00000	4.46439
0.00000	4.46229
0.00000	4.46519
0.00000	4.46391
0.00000	4.46745
0.00000	4.46181
0.00000	4.46085
0.00000	4.46358
0.00000	4.46664
0.00000	4.46407
0.00000	4.46519
0.00000	4.46358
0.00000	4.46149
0.00000	4.46101
0.00000	4.46197
0.00000	4.46342
0.00000	4.45972
0.00000	4.46149
0.00000	4.46133
0.00000	4.46278
0.00000	4.46326
0.00000	4.46197
0.00000	4.46262
0.00000	4.46165
0.00000	4.46439
0.00000	4.46229
0.00000	4.46278
0.00000	4.46278
0.00000	4.46471
0.00000	4.46568
0.00000	4.46536
0.00000	4.46874
0.00000	4.46664
0.00436	4.48517
0.01309	4.47663
0.02182	4.47905
0.03491	4.47921
0.04363	4.46681
0.04363	4.46987
0.04363	4.46374
0.05236	4.46036
0.05672	4.45392
0.06109	4.45054
0.06545	4.45472
0.06981	4.44667
0.07418	4.44377
0.07854	4.43137
0.08290	4.42637
0.08727	4.41687
0.09163	4.39689
0.09599	4.40366
0.10472	4.37418
0.11345	4.31651
0.12217	4.29943
0.13090	4.27962
0.13090	4.27672
0.13526	4.25803
0.13526	4.26061
0.13526	4.25948
0.14399	4.22904
0.14835	4.21583
0.15708	4.19666
0.16144	4.18667
0.16581	4.18377
0.17017	4.17395
0.17453	4.17137
0.17890	4.16315
0.18326	4.16654
0.18762	4.15784
0.19199	4.18410
0.19199	4.15784
0.19635	4.16928
0.20071	4.20343
0.20508	4.22791
0.20944	4.19231
0.21380	4.22163
0.21817	4.26142
0.22253	4.26818
0.22689	4.25642
0.22689	4.29267
0.23126	4.30346
0.23562	4.31409
0.23998	4.30717
0.23998	4.30507
0.23998	4.32376
0.23998	4.30797
0.24435	4.31554
0.24871	4.31023
0.25307	4.30797
0.25744	4.29702
0.25744	4.29267
0.26180	4.27801
0.26616	4.27447
0.26616	4.27221
0.27053	4.25900
0.27925	4.23999
0.28362	4.22662
0.28798	4.21261
0.29671	4.19440
0.29671	4.18780
0.30107	4.18039
0.30980	4.14688
0.31852	4.12401
0.32725	4.10710
0.33598	4.09373
0.34470	4.07359
0.35343	4.05812
0.36216	4.04105
0.36652	4.03718
0.36652	4.03444
0.36652	4.03863
0.36652	4.04008
0.36652	4.03283
0.37525	4.01640
0.38397	3.99901
0.39270	3.97355
0.40579	3.94230
0.41888	3.90735
0.42761	3.87368
0.43633	3.85048
0.44506	3.82906
0.45379	3.80264
0.46251	3.77075
0.47124	3.74304
0.47997	3.71082
0.49306	3.68038
0.50178	3.64800
0.51051	3.62077
0.51924	3.59597
0.52796	3.57293
0.53233	3.55135
0.53669	3.53636
0.54542	3.50044
0.55414	3.47402
0.56287	3.44084
0.57596	3.39558
0.58469	3.36175
0.59341	3.33340
0.59778	3.30327
0.60214	3.28878
0.60650	3.26381
0.61523	3.24367
0.62396	3.21065
0.63705	3.16442
0.64577	3.12060
0.65886	3.07469
0.66759	3.02717
0.67632	2.99222
0.68504	2.95581
0.68941	2.92714
0.69813	2.90684
0.70250	2.87076
0.70686	2.84418
0.71558	2.80971
0.72431	2.78216
0.72867	2.74818
0.73740	2.71660
0.74613	2.67118
0.76358	2.60111
0.78103	2.51702
0.79849	2.44179
0.81158	2.37301
0.82903	2.30584
0.83776	2.25768
0.84648	2.23464
0.84648	2.22675
0.84648	2.21885
0.85085	2.21080
0.85085	2.19695
0.85521	2.18293
0.86394	2.15346
0.88139	2.08822
0.89884	2.01138
0.91193	1.95484
0.92939	1.88380
0.94248	1.82581
0.95120	1.78232
0.95993	1.75188
0.96429	1.73142
0.97302	1.69501
0.98175	1.64459
0.99484	1.60014
1.00793	1.54923
1.01665	1.50043
1.02974	1.45935
1.03847	1.42697
1.04720	1.39508
1.06029	1.34498
1.07338	1.28941
1.08647	1.23528
1.09956	1.17713
1.12137	1.09965
1.13446	1.04940
1.14755	1.00800
1.15628	0.97997
1.16937	0.92955
1.18246	0.87881
1.19991	0.81567
1.22173	0.74769
1.24355	0.67440
1.26536	0.60771
1.28718	0.54473
1.31336	0.47466
1.33081	0.42295
1.34827	0.37785
1.36136	0.34354
1.37445	0.31438
1.39190	0.27878
1.40499	0.24946
1.41808	0.21596
1.43117	0.19212
1.44862	0.16006
1.47044	0.13155
1.49662	0.09386
1.51407	0.07082
1.52716	0.05713
1.53589	0.04392
1.54898	0.03635
1.55771	0.02153
1.57516	0.01316
1.57952	0.00961
1.58389	0.00816
1.58825	0.00671
1.59261	0.00156
1.59698	-0.00150
1.59698	0.00059
1.59698	0.00124
1.59698	-0.00118
1.59698	-0.00166
