Polarization of Light 'theta' Data File Wed, Jan 21, 2026 9:29 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	4.43652
0.00000	4.43265
0.00000	4.43201
0.00000	4.43523
0.00000	4.43636
0.00000	4.43410
0.00000	4.43104
0.00000	4.43507
0.00000	4.43491
0.00000	4.43298
0.00000	4.43330
0.00000	4.43330
0.00000	4.43265
0.00000	4.43459
0.00000	4.43072
0.00000	4.43620
0.00000	4.43926
0.00000	4.42879
0.00000	4.43153
0.00000	4.42895
0.00000	4.43314
0.00000	4.43217
0.00000	4.43555
0.00000	4.42766
0.00000	4.43072
0.00000	4.43120
0.00000	4.42975
0.00000	4.42911
0.00000	4.43362
0.00000	4.42798
0.00000	4.42476
0.00000	4.43072
0.00000	4.42814
0.00000	4.43169
0.00000	4.43104
0.00436	4.42444
0.02182	4.40350
0.02618	4.39013
0.03054	4.37982
0.04363	4.37708
0.05236	4.36854
0.05672	4.36725
0.05672	4.35791
0.06545	4.35324
0.06981	4.34792
0.07418	4.34518
0.07854	4.33455
0.08290	4.33230
0.09163	4.32038
0.09599	4.31941
0.10036	4.31764
0.10472	4.30684
0.10472	4.30717
0.10908	4.30539
0.11345	4.29702
0.11781	4.29573
0.12217	4.29380
0.12654	4.29863
0.13090	4.29508
0.13526	4.29170
0.13963	4.28494
0.14399	4.28703
0.14835	4.27801
0.15272	4.27237
0.15708	4.26399
0.16144	4.25642
0.18326	4.21067
0.20508	4.15832
0.21380	4.14060
0.21817	4.13110
0.22253	4.12626
0.22689	4.11692
0.23126	4.10307
0.23562	4.09405
0.24435	4.07762
0.25744	4.04459
0.26616	4.02124
0.27053	4.00803
0.27925	3.98966
0.28362	3.97533
0.29234	3.95583
0.29671	3.94359
0.29671	3.93973
0.29671	3.94214
0.30107	3.92732
0.30980	3.91202
0.31416	3.89784
0.32725	3.86466
0.33598	3.83744
0.35343	3.79249
0.37525	3.72403
0.39270	3.66717
0.40143	3.64091
0.41015	3.61320
0.41888	3.59194
0.41888	3.58034
0.41888	3.58695
0.44506	3.50560
0.47560	3.38849
0.47997	3.37029
0.49742	3.30021
0.51487	3.22563
0.54542	3.10965
0.59341	2.91232
0.60214	2.86561
0.62396	2.76928
0.65014	2.65475
0.65014	2.64621
0.65014	2.64557
0.65450	2.63429
0.68068	2.52185
0.69813	2.42343
0.69813	2.41006
0.70250	2.40652
0.71995	2.33306
0.71995	2.32388
0.71995	2.33339
0.71995	2.32791
0.71995	2.33049
0.71995	2.32356
0.71995	2.32485
0.73304	2.27362
0.74176	2.21193
0.74613	2.19791
0.74613	2.20001
0.75049	2.18326
0.75485	2.16908
0.75922	2.13912
0.76794	2.10948
0.80721	1.94630
0.86830	1.68938
0.89012	1.59675
0.89012	1.59708
0.89012	1.59788
0.89012	1.59530
0.89012	1.59498
0.89012	1.59240
0.93375	1.40861
0.98611	1.20822
1.01229	1.09385
1.03411	1.01573
1.04720	0.97014
1.05156	0.95275
1.05592	0.93857
1.06029	0.91683
1.06901	0.90233
1.07338	0.87478
1.07774	0.86464
1.08210	0.84144
1.09519	0.81309
1.11265	0.74962
1.15192	0.63316
1.19119	0.51493
1.20428	0.47095
1.21300	0.45178
1.23046	0.40056
1.25664	0.34128
1.27409	0.29972
1.28282	0.27926
1.30463	0.23674
1.34827	0.15571
1.37881	0.10658
1.38317	0.09434
1.39190	0.08951
1.42244	0.05166
1.44862	0.02620
1.46171	0.01735
1.49226	0.00172
1.52280	-0.01229
1.54462	-0.01342
1.56207	-0.01294
1.56643	-0.01149
1.56643	-0.00923
1.57516	-0.00440
1.60570	0.00559
1.65806	0.04344
1.69297	0.08484
1.70606	0.10658
1.71042	0.11303
1.71042	0.10916
1.71042	0.11464
1.72351	0.13010
1.72351	0.12881
1.72788	0.14315
1.74969	0.18100
1.80205	0.27314
1.84132	0.36512
1.86314	0.42859
1.86314	0.43600
1.86314	0.43229
1.86314	0.43213
1.86314	0.43326
1.86314	0.43165
1.86314	0.43278
1.86314	0.43406
1.86750	0.44453
1.89368	0.51396
1.92859	0.61077
1.95477	0.69711
1.97222	0.76476
1.97659	0.77958
1.97659	0.78152
1.98095	0.79086
1.98095	0.79601
1.99404	0.83226
2.01149	0.89411
2.04204	1.00478
2.06822	1.10126
2.10749	1.25977
2.12494	1.32452
2.12494	1.32614
2.12494	1.33000
2.12494	1.33016
2.12494	1.32887
2.12494	1.32581
2.12494	1.32549
2.12494	1.32404
2.12494	1.32549
2.12494	1.32114
2.12494	1.33065
2.15984	1.47143
2.19039	1.58467
2.20784	1.66860
2.22093	1.73190
2.24275	1.82871
2.26893	1.93664
2.29074	2.03071
2.30820	2.11125
2.33001	2.19888
2.35619	2.32227
2.37801	2.43213
2.41292	2.58129
2.44346	2.73497
2.47837	2.88542
2.51327	3.03040
2.53509	3.14106
2.55691	3.22531
2.58745	3.33469
2.60927	3.41507
2.62236	3.46726
2.62672	3.49738
2.62672	3.49497
2.63545	3.52944
2.66163	3.60660
2.68781	3.68650
2.71399	3.77477
2.72708	3.81521
2.73580	3.84001
2.75762	3.89285
2.76198	3.91073
2.79253	3.97726
2.81871	4.04798
2.84489	4.10323
2.88416	4.18603
2.89725	4.22034
2.92779	4.25803
2.94088	4.27978
2.97579	4.31152
3.01942	4.35888
3.05433	4.39609
3.06305	4.40640
3.06742	4.40511
3.06742	4.44441
3.06742	4.40624
3.06742	4.39254
3.06742	4.39609
3.08923	4.37015
3.12414	4.37466
3.12850	4.37692
3.12850	4.37611
3.12850	4.36870
3.12850	4.37837
3.13287	4.35968
3.15032	4.34647
