Polarization of Light 'theta' Data File Wed, Jan 21, 2026 9:49 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.71547
0.00000	0.71563
0.00000	0.71580
0.00000	0.71435
0.00000	0.71145
0.00000	0.71612
0.00000	0.71563
0.00000	0.71112
0.00000	0.71419
0.00000	0.71338
0.00000	0.71515
0.00000	0.71531
0.00000	0.71209
0.00000	0.72079
0.00000	0.71386
0.00000	0.71531
0.00000	0.71209
0.00000	0.71370
0.00000	0.70887
0.00873	0.69373
0.01309	0.66763
0.02182	0.65249
0.02618	0.63268
0.03054	0.61882
0.03927	0.59273
0.05236	0.55922
0.06109	0.53265
0.06981	0.50413
0.07854	0.48464
0.08290	0.46773
0.08727	0.45855
0.09163	0.44856
0.09599	0.43551
0.10472	0.41634
0.11781	0.38574
0.13526	0.35223
0.14399	0.33290
0.15708	0.30906
0.17017	0.27830
0.19199	0.24077
0.20944	0.21483
0.22689	0.18793
0.23998	0.16538
0.25307	0.14847
0.26616	0.13429
0.28362	0.11931
0.29671	0.10433
0.31416	0.08307
0.33598	0.06825
0.35343	0.05584
0.37088	0.04634
0.38834	0.03684
0.40143	0.02943
0.41888	0.02121
0.43633	0.01525
0.45379	0.01139
0.47124	0.00688
0.48433	0.00253
0.49742	-0.00102
0.51051	0.00027
0.52360	-0.00472
0.54105	-0.00456
0.55414	-0.00923
0.56287	-0.00714
0.57160	-0.00746
0.58032	-0.00891
0.58469	-0.01213
0.59341	-0.01084
0.60650	-0.01471
0.61523	-0.00972
0.62832	-0.01278
0.63705	-0.01036
0.64577	-0.01213
0.65014	-0.01004
0.66323	-0.01165
0.68068	-0.01181
0.70250	-0.01181
0.72867	-0.01519
0.75485	-0.01229
0.78103	-0.01149
0.79849	-0.01197
0.82030	-0.01052
0.83776	-0.00859
0.85521	-0.00633
0.86830	-0.00698
0.89448	-0.00472
0.91193	-0.00295
0.93375	0.00156
0.95557	0.00655
0.97302	0.01203
0.99920	0.02105
1.01665	0.03039
1.02102	0.03023
1.02974	0.03587
1.05592	0.04988
1.11701	0.09515
1.15192	0.13558
1.15628	0.14283
1.15628	0.14041
1.16501	0.15137
1.17810	0.17037
1.20864	0.20629
1.23918	0.25945
1.25227	0.28780
1.28718	0.35497
1.32209	0.43342
1.35263	0.51605
1.38754	0.61109
1.42681	0.72594
1.45299	0.82920
1.47044	0.88928
1.48353	0.94936
1.52280	1.09305
1.54462	1.17987
1.57080	1.29118
1.59261	1.40072
1.61007	1.46467
1.63625	1.59112
1.65370	1.67955
1.67988	1.79956
1.71042	1.95307
1.74097	2.10642
1.78460	2.30987
1.81078	2.44469
1.83696	2.57211
1.86314	2.71596
1.88059	2.78104
1.91114	2.92585
1.93295	3.01235
1.97222	3.17457
2.00713	3.32067
2.03331	3.40814
2.06385	3.50302
2.08567	3.56262
2.10749	3.61820
2.13803	3.68295
2.16857	3.74401
2.20348	3.78895
2.23402	3.81698
2.25584	3.83292
2.26893	3.84033
2.28202	3.85000
2.30383	3.85822
2.32565	3.86353
2.34310	3.84791
2.36056	3.82922
2.36928	3.81666
2.38237	3.79571
2.39546	3.78170
2.41292	3.74803
2.42164	3.72725
2.43473	3.69375
2.44782	3.67071
2.45655	3.63817
2.47400	3.58791
2.49582	3.53057
2.51327	3.47564
2.53509	3.40137
2.55691	3.31616
2.58309	3.22772
2.60490	3.12447
2.62236	3.05585
2.63545	2.99850
2.63981	2.95920
2.64854	2.93826
2.64854	2.91570
2.64854	2.91715
2.66163	2.87785
2.68344	2.77105
2.70962	2.63977
2.74017	2.50752
2.76198	2.38831
2.78380	2.28941
2.80562	2.18471
2.82743	2.07163
2.84925	1.97804
2.87107	1.87800
2.88852	1.77733
2.90597	1.70371
2.91906	1.63493
2.93652	1.55890
2.95397	1.46837
2.97579	1.37913
2.99760	1.29150
3.01069	1.22047
3.02378	1.16618
3.03687	1.10932
3.05869	1.02556
3.09360	0.89234
3.12850	0.76348
3.16341	0.64250
