Polarization of Light 'theta' Data File Wed, Jan 21, 2026 9:51 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	-0.00537
0.00000	-0.00521
0.00000	-0.00698
0.00000	-0.00585
0.00000	-0.00215
0.00000	-0.00601
0.00000	-0.00553
0.00000	-0.00569
0.00000	-0.00247
0.00000	-0.00521
0.00000	-0.00343
0.00000	-0.00504
0.00436	-0.00343
0.00436	-0.00360
0.00873	-0.00521
0.03054	-0.00649
0.05672	-0.00843
0.07854	-0.01004
0.08727	-0.01262
0.09163	-0.00972
0.09163	-0.01117
0.09599	-0.01278
0.10036	-0.00972
0.10908	-0.01068
0.11345	-0.00843
0.12217	-0.01181
0.12654	-0.00907
0.13090	-0.01117
0.13963	-0.01213
0.16144	-0.01294
0.17453	-0.00972
0.18762	-0.01229
0.20071	-0.00859
0.22253	-0.01181
0.24435	-0.01407
0.27053	-0.01197
0.28798	-0.00714
0.31416	-0.00666
0.33161	-0.00682
0.34034	-0.00956
0.35779	-0.00504
0.38397	-0.00037
0.41015	0.00333
0.43197	0.00800
0.45379	0.01477
0.47560	0.01944
0.49306	0.02991
0.51051	0.03748
0.52796	0.04956
0.54978	0.06245
0.56723	0.07695
0.58469	0.09305
0.60214	0.10820
0.62396	0.13075
0.64141	0.14911
0.67195	0.19147
0.71558	0.25446
0.75049	0.33194
0.78103	0.39557
0.80285	0.44921
0.82030	0.49205
0.83776	0.53941
0.88139	0.66731
0.90321	0.74495
0.91630	0.78683
0.92066	0.81164
0.93811	0.85900
0.95557	0.93761
0.97302	1.00365
0.99484	1.07904
1.01229	1.15426
1.02974	1.22240
1.06901	1.39975
1.07338	1.41682
1.07338	1.42037
1.07338	1.41715
1.07774	1.44340
1.12574	1.65748
1.15628	1.81502
1.19119	1.98174
1.21737	2.11109
1.23918	2.22755
1.26973	2.36834
1.30027	2.50526
1.31772	2.59289
1.33518	2.68745
1.36572	2.80939
1.39626	2.97079
1.41372	3.03909
1.42244	3.08162
1.44862	3.18584
1.47480	3.28668
1.48789	3.34338
1.49662	3.36722
1.50971	3.40991
1.52716	3.47692
1.54025	3.50270
1.54025	3.51140
1.54025	3.50898
1.54025	3.50995
1.54462	3.51462
1.56207	3.58147
1.57952	3.63044
1.59698	3.68247
1.61443	3.73289
1.64061	3.78218
1.67115	3.82809
1.69297	3.84807
1.71479	3.86466
1.73224	3.86401
1.73660	3.86482
1.74533	3.86514
1.76715	3.86079
1.78460	3.85258
1.80642	3.84001
1.81951	3.82922
1.83696	3.81198
1.85878	3.77316
1.87623	3.73241
1.90241	3.67587
1.92859	3.61530
1.95913	3.52219
1.99840	3.40524
2.03331	3.28282
2.05513	3.20920
2.06822	3.16990
2.08567	3.10562
2.09876	3.01477
2.11185	2.96483
2.12930	2.88478
2.15984	2.74818
2.19911	2.56019
2.24711	2.33564
2.28202	2.16231
2.31692	1.99930
2.34747	1.86125
2.37365	1.74044
2.39983	1.59869
2.43037	1.46821
2.45219	1.35755
2.47400	1.25848
2.48709	1.19550
2.49146	1.16054
2.50455	1.11802
2.51764	1.06357
2.54382	0.96080
2.57872	0.83403
2.60490	0.73706
2.62672	0.66441
2.64417	0.61109
2.66163	0.56615
2.67472	0.52363
2.69217	0.48513
2.70526	0.45162
2.71835	0.41554
2.73144	0.39170
2.74017	0.37301
2.75326	0.34499
2.76198	0.32179
2.77071	0.30633
2.77944	0.28587
2.79689	0.25897
2.82307	0.22031
2.84052	0.18793
2.85361	0.17343
2.85798	0.16441
2.86670	0.15120
2.87979	0.13606
2.89288	0.12157
2.90597	0.10755
2.91470	0.09837
2.91906	0.09354
2.92779	0.08774
2.93652	0.08355
2.94088	0.07775
2.95397	0.07195
2.96706	0.06164
2.98015	0.05230
3.00197	0.04054
3.02815	0.02701
3.05433	0.01799
3.07614	0.00849
3.08923	0.00301
3.09796	0.00285
3.10232	0.00591
3.11105	0.00204
3.11978	-0.00005
3.12414	-0.00070
3.13723	-0.00182
3.15032	-0.00553
