Polarization of Light 'Brewsters' Data File Wed, Jan 21, 2026 10:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00285
180.00000	-0.00150
180.00000	-0.00166
180.00000	-0.00279
180.00000	-0.00311
180.00000	-0.00295
180.00000	-0.00166
180.00000	-0.00198
180.00000	-0.00198
180.00000	-0.00247
180.00000	-0.00166
180.00000	-0.00102
180.00000	-0.00182
180.00000	-0.00295
180.00000	-0.00021
180.00000	-0.00070
180.00000	-0.00215
180.00000	-0.00231
180.00000	-0.00134
180.00000	-0.00150
180.00000	-0.00231
180.00000	-0.00053
180.00000	-0.00247
180.00000	-0.00134
180.00000	-0.00215
180.00000	-0.00215
180.00000	-0.00070
180.00000	-0.00134
180.00000	-0.00005
180.00000	-0.00134
180.00000	-0.00150
179.98333	-0.00198
179.98333	-0.00086
179.98333	-0.00118
179.98333	-0.00086
179.98333	-0.00150
179.98333	-0.00070
179.96667	-0.00086
179.96667	-0.00086
179.93333	-0.00198
179.90000	-0.00134
179.83333	-0.00150
179.76667	-0.00198
179.75000	-0.00295
179.70000	-0.00166
179.63333	-0.00182
179.58333	-0.00005
179.55000	-0.00263
179.55000	-0.00231
179.53333	-0.00102
179.53333	-0.00134
179.51667	-0.00021
179.50000	0.00027
179.46667	-0.00215
179.45000	-0.00215
179.43333	-0.00150
179.40000	-0.00102
179.35000	-0.00231
179.30000	-0.00134
179.25000	-0.00102
179.20000	-0.00166
179.15000	-0.00231
179.11667	-0.00215
179.08333	-0.00070
179.05000	-0.00182
179.01667	-0.00134
178.96667	-0.00005
178.91667	-0.00134
178.88333	-0.00182
178.85000	-0.00102
178.83333	-0.00037
178.80000	-0.00005
178.76667	-0.00215
178.73333	-0.00053
178.68333	-0.00037
178.65000	-0.00263
178.61667	-0.00166
178.58333	-0.00102
178.56667	-0.00279
178.51667	-0.00263
178.46667	-0.00166
178.43333	-0.00021
178.40000	-0.00150
178.35000	-0.00360
178.30000	-0.00102
178.21667	-0.00215
178.15000	-0.00053
178.08333	-0.00166
178.05000	-0.00215
178.00000	-0.00182
177.93333	-0.00198
177.88333	-0.00182
177.85000	-0.00247
177.83333	-0.00118
177.81667	-0.00231
177.80000	0.00027
177.78333	-0.00053
177.76667	-0.00053
177.75000	-0.00021
177.75000	0.02669
177.73333	-0.00166
177.73333	-0.00182
177.71667	-0.00166
177.71667	-0.00311
177.70000	-0.00070
177.68333	0.00253
177.66667	-0.00102
177.65000	-0.00134
177.61667	-0.00102
177.60000	-0.00166
177.58333	-0.00166
177.55000	-0.00150
177.51667	-0.00070
177.46667	-0.00118
177.40000	-0.00231
177.38333	-0.00182
177.36667	-0.00182
177.35000	-0.00005
177.33333	-0.00070
177.33333	-0.00263
177.31667	-0.00070
177.30000	-0.00021
177.28333	0.00059
177.25000	-0.00053
177.20000	0.00011
177.15000	0.00043
177.13333	-0.00021
177.11667	0.00011
177.08333	-0.00198
177.05000	0.00043
177.01667	-0.00102
176.98333	-0.00215
176.96667	-0.00182
176.95000	0.00027
176.91667	-0.00182
176.88333	-0.00215
176.85000	-0.00134
176.81667	-0.00102
176.78333	-0.00134
176.76667	-0.00198
176.73333	0.00011
176.71667	-0.00070
176.70000	-0.00215
176.68333	0.00092
176.65000	-0.00086
176.61667	-0.00021
176.60000	-0.00037
176.58333	0.00317
176.56667	-0.00182
176.53333	-0.00118
176.51667	-0.00102
176.48333	-0.00070
176.43333	-0.00070
176.43333	-0.00166
176.41667	0.00172
176.41667	-0.00053
176.40000	-0.00021
176.38333	-0.00005
176.36667	-0.00327
176.35000	-0.00134
176.33333	0.00317
176.30000	-0.00134
176.25000	-0.00231
176.21667	0.00301
176.18333	0.00043
176.16667	-0.00005
176.11667	-0.00021
176.06667	-0.00037
176.05000	0.00333
176.01667	-0.00102
175.98333	-0.00247
175.90000	-0.00070
175.81667	-0.00070
175.75000	-0.00086
175.71667	-0.00021
175.70000	-0.00021
175.66667	-0.00021
175.63333	0.02041
175.61667	0.00043
175.60000	0.00011
175.56667	-0.00198
175.53333	-0.00134
175.51667	-0.00150
175.51667	0.00124
175.51667	-0.00086
175.50000	0.00317
175.46667	0.00220
175.45000	-0.00102
175.40000	-0.00166
175.36667	0.00140
175.31667	-0.00150
175.28333	-0.00037
175.26667	-0.00037
175.26667	-0.00118
175.26667	-0.00134
175.25000	-0.00231
175.23333	-0.00134
175.21667	0.00059
175.15000	0.00108
175.06667	-0.00021
175.00000	-0.00005
174.98333	0.01718
174.91667	-0.00005
174.86667	-0.00070
174.85000	-0.00053
174.81667	0.09048
174.80000	0.00204
174.78333	0.00124
174.76667	0.00011
174.75000	0.30246
174.73333	-0.00005
174.71667	0.00027
174.70000	-0.00021
174.68333	-0.00231
174.63333	0.00156
174.61667	0.00027
174.60000	-0.00037
174.58333	-0.00021
174.56667	-0.00005
174.55000	0.00092
174.53333	-0.00086
174.51667	-0.00021
174.50000	0.00043
174.46667	-0.00070
174.40000	-0.00021
174.35000	-0.00021
174.33333	-0.00021
174.28333	-0.00053
174.25000	-0.00070
174.21667	0.00011
174.13333	0.00092
174.05000	0.00043
174.01667	-0.00021
174.01667	0.00027
174.01667	0.00059
174.01667	0.00011
174.01667	-0.00021
174.00000	-0.00053
174.00000	0.00027
173.98333	0.00075
173.96667	-0.00182
173.91667	-0.00037
173.88333	0.00285
173.83333	0.00253
173.80000	-0.00021
173.75000	-0.00005
173.71667	0.00704
173.66667	0.00188
173.61667	-0.00376
173.55000	-0.00086
173.48333	0.03748
173.43333	-0.00005
173.40000	-0.00021
173.36667	-0.00021
173.31667	0.19115
173.26667	0.00075
173.26667	0.00172
173.25000	-0.00070
173.23333	-0.00279
173.21667	-0.00118
173.20000	0.00011
173.16667	0.00043
173.06667	0.00172
172.96667	-0.00021
172.88333	-0.00005
172.85000	0.00140
172.81667	0.00092
172.81667	-0.00005
172.80000	-0.00005
172.78333	0.00269
172.76667	0.00156
172.75000	-0.00037
172.75000	0.00011
172.73333	-0.00086
172.73333	0.00253
172.71667	0.00365
172.70000	0.00253
172.58333	0.00365
172.46667	0.00236
172.38333	0.00140
172.33333	0.00108
172.31667	0.00688
172.30000	0.00253
172.28333	0.00156
172.28333	0.00365
172.26667	0.00365
172.25000	0.00204
172.23333	0.00124
172.20000	0.00092
172.15000	-0.00231
172.06667	0.00220
172.01667	0.02073
172.00000	0.01751
171.98333	0.02218
171.98333	0.00253
171.95000	0.02862
171.90000	0.00236
171.76667	0.00269
171.63333	0.00140
171.51667	0.00269
171.46667	0.00365
171.43333	-0.00150
171.41667	-0.00166
171.38333	-0.00037
171.35000	-0.00053
171.28333	0.00156
171.28333	0.00285
171.26667	0.00623
171.25000	0.01928
171.21667	0.03072
171.16667	0.00059
171.11667	0.00462
171.06667	0.03651
170.98333	0.03023
170.91667	0.00526
170.83333	0.00430
170.73333	0.00381
170.65000	0.02508
170.56667	0.00559
170.50000	0.00204
170.41667	0.00510
170.36667	0.00269
170.35000	0.00140
170.31667	0.00188
170.26667	0.00043
170.21667	0.00043
170.15000	0.00220
170.08333	0.00349
170.01667	0.00446
169.96667	0.00478
169.90000	0.00591
169.85000	0.00365
169.80000	0.00446
169.73333	0.00478
169.66667	0.00575
169.60000	0.00398
169.55000	0.00446
169.50000	0.00269
169.43333	0.00381
169.38333	0.00220
169.33333	0.00462
169.28333	0.00317
169.25000	0.00075
169.20000	0.00381
169.10000	0.00881
169.03333	0.03023
168.95000	0.04086
168.91667	0.03829
168.86667	0.04215
168.83333	0.04119
168.80000	0.04473
168.73333	0.04070
168.68333	0.02878
168.66667	0.04102
168.65000	0.03233
168.61667	0.01735
168.58333	0.00832
168.51667	0.00398
168.46667	0.00639
168.45000	0.00671
168.43333	0.00526
168.43333	0.00414
168.41667	0.00494
168.40000	0.00204
168.38333	0.00526
168.36667	0.00881
168.33333	0.01122
168.23333	0.00381
168.11667	0.01074
168.05000	0.04038
168.03333	0.02749
167.98333	0.00124
167.91667	0.01622
167.85000	0.00559
167.76667	0.01557
167.68333	0.00301
167.60000	0.01735
167.55000	0.00124
167.51667	0.01058
167.48333	0.01171
167.43333	0.04199
167.36667	0.06390
167.31667	0.05182
167.25000	0.02476
167.20000	0.02379
167.15000	0.00977
167.06667	0.00961
167.01667	0.01235
166.95000	0.03426
166.86667	0.06486
166.78333	0.04666
166.71667	0.02153
166.63333	0.00736
166.55000	0.02137
166.48333	0.02137
166.45000	0.00865
166.40000	0.01010
166.35000	0.00543
166.30000	0.01058
166.25000	0.01799
166.21667	0.02153
166.16667	0.02057
166.10000	0.01590
166.03333	0.01928
166.00000	0.01267
165.96667	0.01831
165.95000	0.02637
165.91667	0.03474
165.88333	0.02943
165.83333	0.02024
165.76667	0.00977
165.73333	0.04151
165.68333	0.06341
165.63333	0.08291
165.60000	0.07807
165.58333	0.08790
165.55000	0.07695
165.51667	0.06035
165.48333	0.06937
165.46667	0.05520
165.46667	0.04795
165.46667	0.04586
165.45000	0.05166
165.43333	0.02153
165.43333	0.01896
165.43333	0.02749
165.41667	0.02943
165.41667	0.03233
165.40000	0.02749
165.38333	0.02991
165.35000	0.03072
165.25000	0.02137
165.15000	0.02814
165.08333	0.01622
165.05000	0.00720
165.01667	0.02169
164.98333	0.02894
164.93333	0.02685
164.90000	0.03861
164.86667	0.03780
164.83333	0.02492
164.80000	0.04296
164.78333	0.05778
164.78333	0.02749
164.76667	0.01380
164.75000	0.01638
164.73333	0.00285
164.66667	0.02073
164.60000	0.03474
164.55000	0.05601
164.48333	0.07292
164.43333	0.05536
164.40000	0.06309
164.35000	0.04505
164.28333	0.01863
164.23333	0.03506
164.15000	0.03651
164.08333	0.06068
164.03333	0.04618
163.98333	0.03651
163.95000	0.02057
163.90000	0.01928
163.86667	0.02234
163.85000	0.00430
163.83333	0.00929
163.81667	0.01364
163.78333	0.01654
163.76667	0.01557
163.76667	0.01912
163.75000	0.01928
163.73333	0.00301
163.70000	0.03007
163.63333	0.02846
163.43333	0.01767
163.23333	0.02218
163.13333	0.02008
163.11667	0.01638
163.08333	0.02701
163.06667	0.03200
163.00000	0.01702
162.93333	0.02137
162.88333	0.02298
162.81667	0.03974
162.73333	0.03168
162.65000	0.02588
162.58333	0.07276
162.51667	0.03072
162.45000	0.03668
162.40000	0.02620
162.31667	0.06664
162.23333	0.06100
162.18333	0.05456
162.10000	0.07147
162.00000	0.07389
161.91667	0.07743
161.86667	0.07308
161.81667	0.04763
161.76667	0.05520
161.71667	0.05182
161.65000	0.05633
161.60000	0.05085
161.51667	0.06245
161.45000	0.08065
161.38333	0.04860
161.33333	0.04924
161.26667	0.05633
161.18333	0.03780
161.13333	0.05198
161.11667	0.00220
161.06667	0.01622
161.03333	0.01332
161.01667	0.00575
161.00000	0.01300
160.98333	0.02620
160.98333	0.03378
160.96667	0.06986
160.95000	0.10127
160.93333	0.11287
160.91667	0.11657
160.90000	0.08983
160.88333	0.10691
160.86667	0.11383
160.85000	0.11899
160.83333	0.11995
160.83333	0.11995
160.81667	0.05230
160.78333	0.04795
160.65000	0.03829
160.45000	0.04553
160.31667	0.05536
160.20000	0.07888
160.08333	0.10771
160.00000	0.11335
159.90000	0.09692
159.73333	0.09708
159.56667	0.10852
159.43333	0.11158
159.33333	0.04763
159.26667	0.04666
159.16667	0.05021
159.05000	0.07292
158.95000	0.06986
158.83333	0.06551
158.73333	0.12769
158.66667	0.14041
158.60000	0.15636
158.50000	0.11706
158.36667	0.04296
158.23333	0.05117
158.06667	0.05745
157.90000	0.04119
157.71667	0.06068
157.58333	0.15555
157.48333	0.15507
157.38333	0.13204
157.33333	0.11979
157.30000	0.13332
157.25000	0.05037
157.18333	0.04119
157.08333	0.04441
157.00000	0.01863
156.93333	0.04328
156.86667	0.03523
156.76667	0.03361
156.66667	0.05874
156.53333	0.07002
156.40000	0.04763
156.26667	0.04102
156.18333	0.04344
156.13333	0.04489
156.10000	0.05601
156.06667	0.06696
156.03333	0.02749
156.00000	0.02008
155.95000	0.01396
155.90000	-0.00005
155.86667	0.00204
155.85000	0.00333
155.83333	0.00172
155.81667	0.00043
155.80000	-0.00037
155.76667	-0.00053
155.73333	-0.00021
155.73333	0.06470
155.71667	0.04280
155.71667	-0.00021
155.70000	-0.00037
155.70000	0.16490
155.70000	0.03990
155.70000	0.04811
155.68333	-0.00198
155.65000	-0.00005
155.61667	0.07598
155.58333	0.09338
155.55000	-0.00021
155.51667	-0.00021
155.48333	0.09160
155.46667	0.09096
155.43333	-0.00086
155.41667	-0.00021
155.40000	0.08854
155.28333	0.07421
155.11667	-0.00037
154.96667	-0.00037
154.90000	0.05858
154.86667	0.05375
154.81667	-0.00037
154.75000	-0.00021
154.68333	0.05504
154.61667	0.04731
154.55000	-0.00053
154.48333	-0.00021
154.40000	0.04682
154.30000	0.08049
154.21667	-0.00037
154.18333	-0.00037
154.13333	0.08323
154.08333	0.06100
154.03333	0.07775
153.98333	-0.00021
153.90000	0.21370
153.81667	0.07985
153.75000	0.07662
153.70000	-0.00021
153.65000	-0.00198
153.60000	0.04876
153.53333	0.07533
153.45000	-0.00037
153.35000	-0.00021
153.21667	0.01412
153.10000	0.00430
153.00000	-0.00021
152.91667	-0.00037
152.81667	0.00140
152.71667	0.00333
152.65000	0.00945
152.55000	0.01686
152.46667	0.02749
152.40000	0.02556
152.33333	0.02137
152.26667	0.03764
152.16667	0.03410
152.06667	0.03861
152.00000	0.03136
151.95000	0.04231
151.88333	0.01847
151.83333	0.02331
151.80000	0.02089
151.75000	0.02572
151.70000	0.00478
151.65000	0.00945
151.56667	0.01445
151.46667	0.01847
151.35000	0.02427
151.23333	0.02572
151.15000	0.01606
151.10000	0.00623
151.06667	0.00559
151.03333	0.00349
151.03333	0.26316
151.03333	0.00317
151.01667	0.00510
151.01667	0.00156
150.98333	0.00607
150.98333	0.00253
150.96667	0.00349
150.95000	0.00398
150.93333	0.00381
150.90000	0.00430
150.88333	0.00510
150.86667	0.00043
150.86667	0.00301
150.86667	0.00220
150.86667	0.00768
150.85000	-0.00005
150.85000	-0.00021
150.85000	0.01525
150.85000	0.01573
150.85000	-0.00053
150.85000	-0.00021
150.85000	0.01284
150.83333	0.01010
150.81667	-0.00053
