Polarization of Light 'Brewsters' Data File Wed, Jan 21, 2026 10:28 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	1.46869
180.00000	1.46837
180.00000	1.50316
180.00000	1.50542
180.00000	1.52088
180.00000	1.51090
180.00000	1.51863
180.00000	1.52797
180.00000	1.50155
180.00000	1.50961
180.00000	1.48609
180.00000	1.43358
180.01667	0.99769
180.01667	0.54569
180.01667	0.04360
180.01667	0.00075
180.01667	0.00301
180.01667	0.00236
180.01667	0.00349
180.01667	0.00494
180.00000	0.07517
180.00000	0.91860
180.00000	1.84192
180.00000	1.02862
180.00000	1.35594
180.00000	1.33435
180.00000	1.84981
180.00000	1.61206
180.00000	1.47046
179.98333	1.33693
179.96667	1.36866
179.95000	1.61963
179.91667	1.51041
179.86667	1.96048
179.81667	1.69324
179.76667	1.80616
179.70000	1.93970
179.61667	1.56438
179.55000	1.82356
179.50000	1.82758
179.46667	1.96998
179.43333	2.04231
179.41667	1.90603
179.36667	1.60658
179.33333	1.32259
179.28333	1.26492
179.21667	1.48883
179.15000	2.05085
179.11667	1.23351
179.08333	1.14266
179.06667	1.15523
179.03333	1.18293
178.98333	1.17875
178.93333	1.07436
178.90000	1.14701
178.83333	0.96837
178.78333	1.12478
178.73333	1.21708
178.68333	1.21676
178.65000	1.20194
178.61667	0.91634
178.56667	0.92987
178.50000	0.95726
178.45000	1.00832
178.41667	1.08902
178.38333	1.08274
178.33333	0.95130
178.28333	0.89734
178.23333	1.20597
178.16667	1.57758
178.11667	1.96112
178.06667	1.48110
178.03333	1.06583
178.01667	0.98963
177.98333	0.95259
177.96667	0.95855
177.91667	1.21724
177.90000	1.33226
177.88333	1.32742
177.85000	1.36576
177.80000	1.38654
177.71667	0.96918
177.65000	0.99527
177.58333	1.62333
177.55000	1.25768
177.51667	1.25864
177.48333	1.08145
177.45000	1.08177
177.38333	1.71144
177.35000	2.04279
177.31667	2.20951
177.28333	2.16908
177.26667	1.96434
177.21667	2.06889
177.18333	1.78393
177.15000	0.98287
177.11667	0.96982
177.08333	1.12945
177.05000	1.03667
177.03333	1.03280
177.00000	0.98754
176.96667	1.37253
176.91667	1.39814
176.86667	1.27765
176.83333	1.03377
176.81667	0.92134
176.81667	0.91328
176.81667	0.99076
176.80000	1.32984
176.78333	1.14959
176.75000	1.93921
176.68333	2.17085
176.61667	1.34112
176.58333	1.34643
176.56667	1.43970
176.55000	1.25864
176.53333	1.30439
176.51667	1.37510
176.46667	2.20081
176.41667	1.26943
176.38333	1.13106
176.35000	1.45532
176.35000	1.83999
176.33333	1.84466
176.28333	1.60932
176.25000	1.21644
176.21667	1.21998
176.18333	1.55922
176.15000	2.09820
176.10000	2.41602
176.05000	2.24543
175.96667	1.97159
175.88333	1.51605
175.80000	1.61302
175.71667	1.37527
175.65000	1.12285
175.60000	1.10288
175.55000	1.97691
175.51667	1.55664
175.46667	1.23706
175.40000	1.49849
175.31667	1.79972
175.26667	2.08532
175.21667	2.07759
175.16667	2.05358
175.13333	1.92858
175.10000	1.11029
175.03333	1.24334
174.96667	1.57469
174.91667	1.68535
174.86667	1.61173
174.83333	1.64621
174.78333	1.70983
174.71667	1.13058
174.66667	1.08951
174.60000	1.60223
174.55000	1.65120
174.51667	1.86190
174.46667	1.73528
174.41667	1.65716
174.36667	1.29956
174.28333	1.25993
174.21667	1.55697
174.16667	1.68100
174.08333	0.77330
174.01667	0.79940
173.95000	0.70323
173.93333	0.67601
