Polarization of Light 'Brewsters' Data File Wed, Jan 21, 2026 10:37 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.65942
180.00000	0.65458
180.00000	0.65426
180.00000	0.65040
180.00000	0.64717
180.00000	0.64862
180.00000	0.65523
180.00000	0.65523
180.00000	0.65603
180.00000	0.67617
180.00000	0.70710
180.00000	0.71676
180.00000	0.80036
180.00000	0.68551
180.00000	0.64395
180.00000	0.65732
180.00000	0.69099
180.00000	0.69228
180.00000	0.68793
180.00000	0.73980
180.00000	0.74286
180.00000	0.74495
180.00000	0.73899
180.00000	0.73255
180.00000	0.73448
180.00000	0.74157
180.00000	0.74463
180.00000	0.74898
180.00000	0.70114
180.00000	0.69808
180.00000	0.71096
179.98333	0.74463
179.96667	0.78989
179.96667	1.02137
179.95000	1.24205
179.93333	1.24398
179.91667	1.13864
179.88333	0.64138
179.85000	0.87317
179.83333	1.00494
179.81667	1.05584
179.81667	1.07018
179.80000	1.09788
179.76667	1.15281
179.75000	1.14878
179.71667	1.10255
179.68333	1.05052
179.65000	0.98094
179.60000	0.85014
179.55000	0.95516
179.46667	1.09466
179.38333	0.73545
179.35000	0.64073
179.31667	0.55359
179.26667	0.52234
179.15000	0.30246
179.06667	0.21338
179.00000	0.34482
178.96667	0.38848
178.96667	0.57324
178.96667	0.60336
178.95000	0.60127
178.93333	0.62269
178.91667	0.89605
178.88333	1.03748
178.85000	1.41940
178.81667	1.16248
178.76667	1.22369
178.75000	1.24092
178.73333	1.25268
178.70000	1.40587
178.66667	1.61367
178.60000	1.58435
178.55000	1.15958
178.48333	0.81824
178.43333	0.79666
178.35000	0.79714
178.30000	0.79263
178.23333	0.86657
178.18333	0.88107
178.13333	0.91795
178.06667	0.82275
178.00000	0.85964
177.98333	1.10481
177.96667	0.82275
177.95000	1.02008
177.91667	0.80052
177.86667	0.94727
177.81667	0.93616
177.78333	0.99930
177.76667	1.07807
177.76667	1.14701
177.75000	1.18084
177.73333	1.24124
177.71667	1.37092
177.70000	1.64379
177.65000	1.91779
177.61667	1.95403
177.60000	1.92939
177.58333	1.83065
177.56667	1.68776
177.55000	1.44856
177.50000	1.06679
177.45000	0.87527
177.36667	1.04859
177.28333	0.72143
177.15000	1.25220
177.00000	0.70049
176.88333	0.74882
176.78333	0.75864
176.76667	0.72401
176.75000	0.73931
176.71667	0.76621
176.66667	0.63590
176.58333	0.92714
176.48333	2.07775
176.40000	1.08967
176.23333	0.81116
176.15000	0.79150
176.13333	0.79247
176.13333	0.79908
176.11667	0.83032
176.08333	0.93310
176.01667	1.16634
175.90000	1.10722
175.76667	1.00381
175.63333	0.92005
175.48333	0.89137
175.36667	1.22079
175.25000	1.27717
175.20000	0.72965
175.13333	1.01170
175.08333	1.31518
175.03333	0.67021
174.98333	1.08322
174.91667	1.00155
174.86667	0.69341
174.81667	0.87060
174.75000	0.97530
174.66667	1.05326
174.60000	0.92987
174.53333	0.94824
174.48333	0.83596
174.40000	0.81067
174.30000	1.12204
174.20000	0.86383
174.11667	1.06486
174.01667	1.55165
173.93333	1.06905
173.86667	0.05858
173.83333	0.13638
173.80000	0.23481
173.75000	0.04698
173.71667	0.04731
173.68333	0.74705
173.66667	1.03200
173.63333	0.99431
173.61667	0.99334
173.60000	0.99270
173.58333	0.99559
173.56667	1.04215
173.55000	1.04166
173.50000	1.18003
173.41667	0.91747
173.30000	1.13541
173.11667	2.10545
172.98333	2.06099
172.95000	0.92536
172.95000	0.95323
172.93333	1.04376
172.88333	1.20806
172.83333	1.47288
172.78333	1.33306
172.73333	0.92810
172.68333	1.27765
172.61667	1.88719
172.53333	0.94244
172.43333	0.85819
172.31667	0.93519
172.21667	1.40039
172.13333	2.12253
172.03333	0.93583
171.91667	1.34853
171.86667	1.37961
171.83333	1.43181
171.81667	1.39798
171.80000	1.30181
171.75000	0.73609
171.68333	0.98142
171.63333	0.91489
171.58333	0.98078
171.51667	0.91360
171.45000	1.12414
171.38333	0.83065
171.36667	0.90394
171.33333	1.25606
171.28333	1.26734
171.25000	1.51106
171.23333	1.56615
171.21667	1.55020
171.15000	1.04698
171.10000	0.72659
171.06667	0.76122
171.03333	1.05648
171.00000	1.01782
170.98333	1.46273
170.96667	1.30745
170.95000	1.18873
170.86667	1.74124
170.78333	2.38783
170.68333	2.69840
170.63333	1.79907
170.61667	1.98754
170.61667	2.13123
170.58333	2.54457
170.55000	1.75349
170.50000	0.97482
170.46667	0.95951
170.43333	2.76912
170.41667	2.66651
170.38333	2.84708
170.33333	2.72224
170.25000	2.18213
170.21667	1.98094
170.16667	2.48110
170.11667	2.81486
170.08333	2.76863
170.05000	2.07436
169.98333	2.80552
169.90000	1.04746
169.85000	1.05375
169.80000	1.02652
169.78333	1.02475
169.73333	1.01396
169.70000	0.97175
169.63333	0.97047
169.55000	0.97079
169.50000	0.97723
169.46667	0.96644
169.40000	0.97256
169.31667	0.95774
169.23333	1.29617
169.15000	0.38703
169.08333	0.09998
168.93333	0.05794
168.83333	0.06180
168.75000	0.04553
168.65000	0.02991
168.55000	0.03941
168.41667	0.14718
168.31667	0.86013
168.25000	1.58338
168.18333	1.16779
168.10000	0.75091
168.06667	0.83677
168.00000	0.55149
167.93333	0.47385
167.86667	0.94904
167.81667	1.74801
167.78333	2.32018
167.75000	1.29054
167.71667	0.81921
167.65000	0.75462
167.61667	0.90040
167.56667	0.77701
167.53333	0.87945
167.50000	0.83161
167.48333	0.73641
167.45000	0.88171
167.41667	2.90813
167.35000	1.71724
167.31667	0.48819
167.20000	0.22611
167.10000	0.14138
167.01667	0.30971
166.85000	0.12334
166.68333	0.05472
166.58333	0.05794
166.50000	0.05214
166.48333	0.05343
166.46667	0.06035
166.43333	0.07389
166.38333	0.10272
166.35000	0.17778
166.30000	0.18294
166.21667	0.23481
166.15000	0.44325
166.08333	0.47691
166.01667	0.42392
166.00000	1.70194
165.98333	2.30052
165.95000	2.33000
165.90000	1.88702
165.83333	2.20871
165.78333	1.44373
165.73333	1.30117
165.68333	0.86544
165.65000	2.16231
165.61667	0.89605
165.56667	1.37317
165.55000	1.72288
165.51667	0.69002
165.48333	1.41119
165.43333	2.68487
165.38333	1.43986
165.33333	1.30036
165.26667	1.24108
165.21667	0.96177
165.21667	0.96112
165.21667	0.97063
165.20000	0.99366
165.20000	1.00784
165.16667	1.00752
165.13333	0.88026
165.08333	0.72417
165.03333	0.66473
165.00000	0.68261
164.93333	0.72900
164.88333	0.96080
164.80000	1.97965
164.73333	2.30487
164.70000	2.32018
164.65000	2.31873
164.61667	2.11238
164.55000	2.10851
164.48333	2.02684
164.40000	2.20436
164.31667	1.79021
164.28333	1.74221
164.28333	2.16989
164.26667	2.10674
164.25000	1.99012
164.23333	1.84015
164.21667	1.67440
164.18333	1.62382
164.16667	1.71821
164.15000	1.46467
164.11667	1.19663
164.05000	0.91505
163.98333	0.79376
163.90000	0.78023
163.81667	0.96612
163.73333	0.73255
163.66667	0.93986
163.60000	1.16876
